site_id,site_name,site_category,site_type,service,address,suburb,postcode,lhn_code,status,details,source
HOSP-040,Mount Pleasant District Hospital,Hospital,Public Hospital,SA Health,28 Hospital Road,Mount Pleasant,5235,BHFLHN,,Emergency Service,Public Hospitals
HOSP-041,Murray Bridge Soldiers' Memorial Hospital,Hospital,Public Hospital,SA Health,96 Swanport Road,Murray Bridge,5253,RMCLHN,,Emergency Department,Public Hospitals
HOSP-042,Naracoorte Health Service,Hospital,Public Hospital,SA Health,101 Jenkins Terrace,Naracoorte,5271,LCLHN,,Emergency Service,Public Hospitals
HOSP-043,Noarlunga Hospital,Hospital,Public Hospital,SA Health,Alexander Kelly Drive,Noarlunga Centre,5168,SALHN,,Emergency Department,Public Hospitals
HOSP-044,Northern Yorke Peninsula Health Service (Wallaroo),Hospital,Public Hospital,SA Health,1 Ernest Terrace,Wallaroo,5556,YNLHN,,Emergency Service,Public Hospitals
HOSP-045,Orroroo and District Health Service,Hospital,Public Hospital,SA Health,Pekina Road,Orroroo,5431,YNLHN,,Emergency Service,Public Hospitals
HOSP-046,Penola War Memorial Hospital,Hospital,Public Hospital,SA Health,18 Church Street,Penola,5277,LCLHN,,Emergency Service,Public Hospitals
HOSP-047,Peterborough Soldiers' Memorial Hospital,Hospital,Public Hospital,SA Health,23 Hurlstone Street,Peterborough,5422,YNLHN,,Emergency Service,Public Hospitals
HOSP-048,Pinnaroo Soldiers' Memorial Hospital,Hospital,Public Hospital,SA Health,Bundey Terrace,Pinnaroo,5304,RMCLHN,,Emergency Service,Public Hospitals
HOSP-049,Port Augusta Hospital and Regional Health Services,Hospital,Public Hospital,SA Health,71 Hospital Road,Port Augusta,5700,FUNLHN,,Emergency Department,Public Hospitals
HOSP-050,Port Broughton and District Hospital and Health Service,Hospital,Public Hospital,SA Health,56-82 Bay Road,Port Broughton,5522,YNLHN,,Emergency Service,Public Hospitals
HOSP-051,Port Lincoln Health Service,Hospital,Public Hospital,SA Health,39 Oxford Terrace,Port Lincoln,5606,EFNLHN,,Emergency Department,Public Hospitals
HOSP-052,Port Pirie Regional Health Service,Hospital,Public Hospital,SA Health,Alexander Street,Port Pirie,5540,YNLHN,,Emergency Department,Public Hospitals
HOSP-053,Pregnancy Advisory Centre,Hospital,Public Hospital,SA Health,21 Belmore Terrace,Woodville,5011,CALHN,,No,Public Hospitals
HOSP-054,Quorn Health Service,Hospital,Public Hospital,SA Health,Hospital Road,Quorn,5433,FUNLHN,,Emergency Service,Public Hospitals
HOSP-055,Renmark Paringa District Hospital,Hospital,Public Hospital,SA Health,Ral Ral Avenue,Renmark,5341,RMCLHN,,Emergency Service,Public Hospitals
HOSP-056,Riverland General Hospital,Hospital,Public Hospital,SA Health,10 Maddern Street,Berri,5343,RMCLHN,,Emergency Department,Public Hospitals
HOSP-057,Riverton District Soldiers' Memorial Hospital,Hospital,Public Hospital,SA Health,23 Moorhouse Terrace,Riverton,5412,YNLHN,,Emergency Service,Public Hospitals
HOSP-058,Roxby Downs Health Service,Hospital,Public Hospital,SA Health,16-28 Burgoyne Street,Roxby Downs,5725,FUNLHN,,Emergency Service,Public Hospitals
HOSP-059,Royal Adelaide Hospital,Hospital,Public Hospital,SA Health,Port Road,Adelaide,5000,CALHN,,Emergency Department,Public Hospitals
HOSP-060,Snowtown Hospital and Health Service,Hospital,Public Hospital,SA Health,South Terrace,Snowtown,5520,YNLHN,,Emergency Service,Public Hospitals
HOSP-061,South Coast District Hospital,Hospital,Public Hospital,SA Health,Bay Road,Victor Harbor,5211,BHFLHN,,Emergency Department,Public Hospitals
HOSP-062,Southern Yorke Peninsula Health Service (Yorketown),Hospital,Public Hospital,SA Health,19 Waterloo Bay Road,Yorketown,5576,YNLHN,,Emergency Service,Public Hospitals
HOSP-063,Strathalbyn and District Health Service,Hospital,Public Hospital,SA Health,14 Alfred Place,Strathalbyn,5255,BHFLHN,,Emergency Service,Public Hospitals
HOSP-064,Streaky Bay Hospital,Hospital,Public Hospital,SA Health,1 Flinders Drive,Streaky Bay,5680,EFNLHN,,Emergency Service,Public Hospitals
HOSP-065,Tailem Bend District Hospital,Hospital,Public Hospital,SA Health,74 Princes Highway,Tailem Bend,5260,RMCLHN,,Emergency Service,Public Hospitals
HOSP-066,Tanunda War Memorial Hospital,Hospital,Public Hospital,SA Health,15 Mill Street,Tanunda,5352,BHFLHN,,Emergency Service,Public Hospitals
HOSP-067,The Queen Elizabeth Hospital,Hospital,Public Hospital,SA Health,28 Woodville Road,Woodville South,5011,CALHN,,Emergency Department,Public Hospitals
HOSP-068,The Repat Precinct,Hospital,Public Rehabilitation Hospital,SA Health,216 Daws Road,Daw Park,5041,SALHN,,No,Public Hospitals
HOSP-069,Tumby Bay Hospital and Health Services,Hospital,Public Hospital,SA Health,8-11 Esplanade,Tumby Bay,5605,EFNLHN,,Emergency Service,Public Hospitals
HOSP-070,Waikerie Health Service,Hospital,Public Hospital,SA Health,1 Lawrie Terrace,Waikerie,5330,RMCLHN,,Emergency Service,Public Hospitals
HOSP-071,Whyalla Hospital and Health Services,Hospital,Public Hospital,SA Health,20 Wood Terrace,Whyalla,5600,FUNLHN,,Emergency Department,Public Hospitals
HOSP-072,Women's & Children's Hospital,Hospital,Public Hospital,SA Health,72 King William Road,North Adelaide,5006,WCHN,,Emergency Department,Public Hospitals
HOSP-073,Wudinna Hospital,Hospital,Public Hospital,SA Health,16-24 Richards Avenue,Wudinna,5652,EFNLHN,,Emergency Service,Public Hospitals
