site_id,site_name,site_category,site_type,service,address,suburb,postcode,lhn_code,status,details,source
SAAS-692,MURRAY BRIDGE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,DARLING AVENUE,MURRAY BRIDGE,5253,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-668,NANGWARRY STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 304 BEDNALL DRIVE,NANGWARRY,5277,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-669,NARACOORTE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,BUTLER TERRACE,NARACOORTE,5271,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-618,NOARLUNGA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 500 FLAXMILL ROAD,MORPHETT VALE,5162,SALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-638,O'HALLORAN HILL STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,4 MAJORS ROAD,O'HALLORAN HILL,5158,SALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-639,ORROROO STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,12172 R M WILLIAMS WAY,ORROROO,5431,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-640,PADTHAWAY STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,2 MEMORIAL DRIVE,PADTHAWAY,5271,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-641,PARKSIDE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,6 GLEN OSMOND ROAD,PARKSIDE,5063,CALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-643,PENNESHAW STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 98 THE LANE,PENNESHAW,5222,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-644,PENOLA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,16E CHURCH STREET,PENOLA,5277,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-646,PETERBOROUGH STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,19-21 QUEEN STREET,PETERBOROUGH,5422,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-647,PINNAROO STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 104 HOMBURG TERRACE,PINNAROO,5304,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-608,PLAYFORD STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 1 TOLMER ROAD,ELIZABETH PARK,5113,NALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-648,PT ADELAIDE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,3-5 SANTO PDE,PORT ADELAIDE,5015,CALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-650,PT AUGUSTA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,6 GILES STREET,PORT AUGUSTA,5700,FUNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-651,PT BROUGHTON STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,BAY STREET,PORT BROUGHTON,5522,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-654,PT LINCOLN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,4 MARINE AVENUE,PORT LINCOLN,5606,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-655,PT NEILL STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,BICE STREET,PORT NEILL,5604,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-657,PT PIRIE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,97 GREY TERRACE,PORT PIRIE SOUTH,5540,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-658,PT WAKEFIELD STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,2 BURRA STREET,PORT WAKEFIELD,5550,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-659,PROSPECT STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,478-480 REGENCY ROAD,PROSPECT,5082,CALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-662,QUORN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 501 WEST TERRACE,QUORN,5433,FUNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-663,REDWOOD PARK STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 540 GAYLARD CRES,REDWOOD PARK,5097,NALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-664,RENMARK STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 567 EIGHTEENTH STREET,RENMARK,5341,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-673,RIVERTON STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,16 TORRENS ROAD,RIVERTON,5412,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-675,ROBE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 1 O'HALLORAN STREET,ROBE,5276,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-676,ROXBY DOWNS STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,16-28 BURGOYNE STREET,ROXBY DOWNS,5725,FUNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-678,SALISBURY STATION (CLINICAL EDUCATION),Ambulance,AMBULANCE STATION,SA Ambulance Service,1-3 BREMEN DRIVE,SALISBURY SOUTH,5106,NALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-680,SNOWTOWN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,3-5 ADELAIDE ROAD,SNOWTOWN,5520,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-541,SPECIAL OPERATIONS STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 42 SIR DONALD BRADMAN DRIVE,ADELAIDE AIRPORT,5950,CALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-526,STATE HEADQUARTERS,Ambulance,AMBULANCE STATION,SA Ambulance Service,216 GREENHILL ROAD,EASTWOOD,5063,CALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-542,STIRLING STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,298 MOUNT BARKER ROAD,ALDGATE,5154,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-682,STRATHALBYN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,3 RANKINE STREET,STRATHALBYN,5255,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-683,STREAKY BAY STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,1 FLINDERS DRIVE,STREAKY BAY,5680,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-684,SWAN REACH STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,NILDOTTIE ROAD,SWAN REACH,5354,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-630,TAILEM BEND STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 502 GRANITES ROAD,TAILEM BEND,5260,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-631,TINTINARA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,28-30 WENDT TERRACE,TINTINARA,5266,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-635,TUMBY BAY STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,8 ESPLANADE,TUMBY BAY,5605,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-721,VICTOR HARBOR STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,45-47 TORRENS STREET,VICTOR HARBOR,5211,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-722,WAIKERIE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 480 DOWLING STREET,WAIKERIE,5330,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-724,WALLAROO STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 20 ERNEST TERRACE,WALLAROO,5556,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-733,WAROOKA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,36 MAIN STREET,WAROOKA,5577,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-642,WESTERN DISTRICTS STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 54 COOK STREET,PARNDANA,5220,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-735,WHYALLA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 104 ST JOHN CRES,WHYALLA PLAYFORD,5600,FUNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-736,WOODSIDE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,24 ONKAPARINGA VALL ROAD,WOODSIDE,5244,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-738,WUDINNA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 29 RICHARDS AVENUE,WUDINNA,5652,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-740,YANKALILLA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,81 MAIN STREET,YANKALILLA,5203,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-687,YORKETOWN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,7 WEANERS STREET,YORKETOWN,5576,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-688,YUNTA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 3 RAILWAY TERRACE,YUNTA,5440,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
DENT-001,Adelaide Dental Hospital,Dental,Specialist dental hospital,SA Dental,Corner of North Terrace and George Street,Adelaide,5000,CALHN,Operating,1300 008 222 | Referral only,SA Dental
DENT-002,Angle Park (Parks),Dental,Community dental clinic,SA Dental,"Parks Community Dental Clinic, 2/40-44 Trafford Street",Angle Park,5010,CALHN,Operating,(08) 8243 5629,SA Dental
DENT-003,Elizabeth GP Plus,Dental,GP Plus dental clinic,SA Dental,16 Playford Boulevard,Elizabeth,5112,NALHN,Operating,(08) 7485 4269,SA Dental
DENT-004,Evanston,Dental,Kids dental clinic,SA Dental,20 Para Road,Evanston,5116,BHFLHN,Operating,(08) 7485 4269,SA Dental
DENT-005,Fulham Gardens,Dental,Kids dental clinic,SA Dental,Mitton Avenue,Henley Beach,5022,CALHN,Operating,(08) 7117 4000,SA Dental
DENT-006,Gawler,Dental,Community dental clinic,SA Dental,"Gawler Health Service, 21 Hutchinson Road",Gawler East,5118,BHFLHN,Operating,(08) 7485 4269,SA Dental
DENT-007,Gilles Plains,Dental,Adult dental clinic,SA Dental,"TAFE SA, 33 Blacks Road",Gilles Plains,5086,NALHN,Operating,(08) 8207 1222,SA Dental
DENT-008,Hendon,Dental,Kids dental clinic,SA Dental,162 Cedar Avenue,Royal Park,5014,CALHN,Operating,(08) 7117 4000,SA Dental
DENT-009,Linden Park,Dental,Kids dental clinic,SA Dental,5 Highfield Avenue,St Georges,5064,CALHN,Operating,(08) 7425 8850,SA Dental
DENT-010,Magill,Dental,Kids dental clinic,SA Dental,Magill Primary School,Magill,5072,CALHN,Operating,(08) 7425 8850,SA Dental
DENT-011,Marion GP Plus,Dental,GP Plus dental clinic,SA Dental,"Level 1, 10 Milham Street",Oaklands Park,5046,SALHN,Operating,(08) 7425 8400,SA Dental
DENT-012,Marleston,Dental,Community dental clinic,SA Dental,229B Marion Road,Marleston,5033,CALHN,Operating,(08) 7117 4000,SA Dental
DENT-013,Millicent,Dental,Community dental clinic,SA Dental,17 Ninth Street,Millicent,5280,LCLHN,Operating,(08) 8733 3957,SA Dental
DENT-014,Mitcham,Dental,Kids dental clinic,SA Dental,"Mitcham Primary School, Elphyn Road",Kingswood,5062,SALHN,Operating,(08) 7425 8400,SA Dental
DENT-015,Modbury GP Plus,Dental,GP Plus dental clinic,SA Dental,77 Smart Road,Modbury,5092,NALHN,Operating,(08) 7425 8700,SA Dental
DENT-016,Mount Barker - Kids,Dental,Kids dental clinic,SA Dental,"Mount Barker Primary School, 2A Dumas Street",Mount Barker,5251,BHFLHN,Operating,(08) 7117 4490,SA Dental
DENT-017,Mount Barker - Adults,Dental,Adult dental clinic,SA Dental,"Mount Barker District Soldiers' Memorial Hospital, 87 Wellington Road",Mount Barker,5251,BHFLHN,Operating,(08) 7117 4490,SA Dental
DENT-018,Mount Gambier,Dental,Community dental clinic,SA Dental,"Mount Gambier and Districts Health Service, 276-300 Wehl Street North",Mount Gambier,5290,LCLHN,Operating,(08) 8721 1633,SA Dental
DENT-019,Murray Bridge,Dental,Community dental clinic,SA Dental,45 Beatty Terrace,Murray Bridge,5253,RMCLHN,Operating,(08) 7117 4490,SA Dental
DENT-020,Naracoorte,Dental,Community dental clinic,SA Dental,"Naracoorte Primary School, 41 Park Terrace",Naracoorte,5271,LCLHN,Operating,(08) 8762 2614,SA Dental
DENT-021,Noarlunga GP Plus,Dental,GP Plus dental clinic,SA Dental,2 Alexander Kelly Drive,Noarlunga Centre,5168,SALHN,Operating,(08) 8384 9244,SA Dental
DENT-022,Pennington,Dental,Kids dental clinic,SA Dental,"Pennington Primary School, Butler Avenue",Pennington,5013,CALHN,Operating,(08) 8243 5629,SA Dental
DENT-023,Port Adelaide,Dental,Adult dental clinic,SA Dental,"Wonggangga Turtpandi Aboriginal Primary Health Care Services, 11 Church Street",Port Adelaide,5015,CALHN,Operating,(08) 8243 5629,SA Dental
DENT-024,Port Augusta,Dental,Community dental clinic,SA Dental,"Flinders and Far North Community Health Service, 36 Flinders Terrace",Port Augusta,5700,FUNLHN,Operating,(08) 8668 7840,SA Dental
DENT-025,Port Lincoln,Dental,Community dental clinic,SA Dental,39 Oxford Terrace,Port Lincoln,5606,EFNLHN,Operating,(08) 7669 1700,SA Dental
DENT-026,Port Pirie,Dental,Adult dental clinic,SA Dental,"Port Pirie Regional Health Service, The Terrace",Port Pirie,5540,YNLHN,Operating,(08) 8638 4426,SA Dental
DENT-027,Port Pirie West,Dental,Kids dental clinic,SA Dental,"Port Pirie West Primary School, 214 The Terrace",Port Pirie West,5540,YNLHN,Operating,(08) 8632 1926,SA Dental
DENT-028,Prospect,Dental,Kids dental clinic,SA Dental,"Prospect Primary School, Burrage Place",Prospect,5082,CALHN,Operating,(08) 7117 4000,SA Dental
DENT-029,Riverland (Berri),Dental,Community dental clinic,SA Dental,10 Maddern Avenue,Berri,5343,RMCLHN,Operating,(08) 8580 2700,SA Dental
DENT-030,Salisbury,Dental,Community dental clinic,SA Dental,21 Hollywood Boulevard,Salisbury Downs,5108,NALHN,Operating,(08) 7485 4700,SA Dental
DENT-031,Victor Harbor,Dental,Community dental clinic,SA Dental,"South Coast District Hospital, Bay Road",Victor Harbor,5211,BHFLHN,Operating,(08) 8551 0460,SA Dental
DENT-032,Wallaroo,Dental,Community dental clinic,SA Dental,"Wallaroo Hospital and Health Services, 1 Ernest Terrace",Wallaroo,5556,YNLHN,Operating,(08) 7117 4492,SA Dental
DENT-033,Whyalla,Dental,Oral health centre,SA Dental,"Whyalla Oral Health Centre, 111 Nicolson Avenue",Whyalla Norrie,5608,FUNLHN,Operating,(08) 7117 4493,SA Dental
SAAS-689,RRAS Base,Ambulance,AMBULANCE STATION,SA Ambulance Service,"ADELAIDE AIRPORT, 2 SIR REGINALD ANSETT DRIVE",ADELAIDE AIRPORT,5950,CALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-690,SALT CREEK,Ambulance,AMBULANCE STATION,SA Ambulance Service,11097 PRINCES HIGHWAY,SALT CREEK,5264,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-691,SEAFORD STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,80 SEAFORD ROAD,SEAFORD,5169,SALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-692,GEPPS CROSS STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,7 SCANIA COURT,GEPPS CROSS,5094,NALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-693,EDWARDSTOWN - STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,220 DAWS ROAD,EDWARDSTOWN,5041,SALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-694,PORT MACDONNELL - STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,MEYLIN STREET,PORT MACDONNELL,5291,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-695,PORT KENNY - STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LITTLE STREET,PORT KENNY,5671,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-696,PARAFIELD STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,1A LOCKHEED LANE,PARAFIELD,5160,NALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-697,OAKDEN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,285 FOSTERS ROAD,OAKDEN,5086,NALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-698,GLENGOWRIE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,88A MORPHETT ROAD,GLENGOWRIE,5044,SALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-699,BIRDWOOD STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,CORNER TORRENS VALLEY ROAD & BLUMEL ROAD,BIRDWOOD,5234,BHFLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-700,BEACHPORT STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,GOLFCOURSE ROAD,BEACHPORT,5280,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-701,UPPER MURRAY MALLEE VOLUNTEER REGIONA RESPONSE TEAM,Ambulance,AMBULANCE STATION,SA Ambulance Service,25 CORNWALL STREET,BERRI,5343,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
DASSA-001,DASSA Central Services,Dassa,Drug and Alcohol Service,Drug and Alcohol Service South Australia,91 Magill Road,Stepney,5069,CALHN,Operating,(08) 7425 5000,DASSA
DASSA-002,DASSA Northern Services,Dassa,Drug and Alcohol Service,Drug and Alcohol Service South Australia,22 Langford Drive,Elizabeth,5112,NALHN,Operating,(08) 7485 4600,DASSA
DASSA-003,DASSA Southern Services,Dassa,Drug and Alcohol Service,Drug and Alcohol Service South Australia,1/209 Main South Rd,Morphett Vale,5162,SALHN,Operating,(08) 8325 8111,DASSA
